,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--3--0--3,16.449,0.000,0.000,0.000,0.000,0.000,0.000,16.489,23.488,0.000,,7,0,0,0,0,0,0,2,16,0,,115.15,0.00,0.00,0.00,0.00,0.00,0.00,32.98,375.80,0.00
0--3--1--0,21.713,23.210,23.277,18.441,31.306,19.551,12.975,0.000,0.000,22.616,,4,2,1,12,31,3,2,0,0,11,,86.85,46.42,23.28,221.30,970.50,58.65,25.95,0.00,0.00,248.78
0--3--1--1,0.000,30.152,0.000,0.000,31.881,0.000,23.492,0.000,0.000,0.000,,0,1,0,0,2,0,2,0,0,0,,0.00,30.15,0.00,0.00,63.76,0.00,46.98,0.00,0.00,0.00
0--3--1--2,27.375,29.441,17.899,18.120,0.000,17.952,11.356,0.000,24.301,0.000,,1,19,1,6,0,1,1,0,13,0,,27.38,559.39,17.90,108.72,0.00,17.95,11.36,0.00,315.91,0.00
0--3--1--3,0.000,22.622,0.000,0.000,28.820,0.000,16.152,23.646,10.885,0.000,,0,2,0,0,12,0,1,1,1,0,,0.00,45.24,0.00,0.00,345.84,0.00,16.15,23.65,10.89,0.00
0--3--2--0,17.507,29.695,15.827,14.897,26.999,20.159,21.181,19.812,26.384,15.682,,14,168,10,13,22,11,13,5,7,9,,245.09,4988.73,158.27,193.66,593.98,221.75,275.35,99.06,184.69,141.14
0--3--2--1,0.000,26.744,0.000,0.000,26.220,18.202,19.532,22.385,20.699,13.705,,0,3,0,0,15,2,2,1,4,1,,0.00,80.23,0.00,0.00,393.29,36.40,39.06,22.38,82.80,13.71
0--3--2--2,15.912,24.444,21.923,14.458,26.910,10.715,18.331,18.245,16.793,21.467,,6,4,4,17,116,8,4,4,3,9,,95.47,97.78,87.69,245.79,3121.61,85.72,73.32,72.98,50.38,193.20
0--3--2--3,17.466,0.000,17.114,20.501,26.399,19.873,22.696,18.449,19.236,14.469,,1,0,1,6,34,1,2,1,1,2,,17.47,0.00,17.11,123.01,897.57,19.87,45.39,18.45,19.24,28.94
0--3--3--0,0.000,0.000,0.000,0.000,19.824,0.000,0.000,26.489,0.000,0.000,,0,0,0,0,1,0,0,13,0,0,,0.00,0.00,0.00,0.00,19.82,0.00,0.00,344.36,0.00,0.00
0--3--3--1,0.000,23.928,0.000,0.000,0.000,0.000,0.000,0.000,20.651,0.000,,0,4,0,0,0,0,0,0,2,0,,0.00,95.71,0.00,0.00,0.00,0.00,0.00,0.00,41.30,0.00
0--3--3--2,0.000,26.893,13.148,-4.738,30.534,7.894,14.837,19.706,19.935,22.867,,0,1,1,1,15,1,4,2,8,1,,0.00,26.89,13.15,-4.74,458.01,7.89,59.35,39.41,159.48,22.87
0--3--3--3,0.000,0.000,16.740,0.000,29.371,12.375,4.496,0.000,0.000,0.000,,0,0,3,0,1,1,1,0,0,0,,0.00,0.00,50.22,0.00,29.37,12.38,4.50,0.00,0.00,0.00
1--0--0--0,25.830,24.840,26.193,25.605,21.862,24.956,23.480,21.652,19.705,22.916,,21,14,242,40,8,13,13,14,14,13,,542.42,347.76,6338.65,1024.18,174.89,324.43,305.25,303.13,275.87,297.91
1--0--0--1,19.867,22.572,0.000,24.049,0.000,0.000,23.831,25.899,0.000,23.499,,2,4,0,4,0,0,9,5,0,16,,39.73,90.29,0.00,96.20,0.00,0.00,214.48,129.49,0.00,375.98
1--0--0--2,25.962,24.655,24.380,28.594,23.441,21.158,22.261,20.523,23.734,23.433,,27,25,33,621,19,36,31,24,31,26,,700.97,616.38,804.55,17757.07,445.38,761.70,690.10,492.55,735.74,609.25
1--0--0--3,23.370,16.142,18.906,20.349,20.211,18.495,0.000,19.145,22.272,0.000,,21,1,3,1,4,2,0,3,17,0,,490.78,16.14,56.72,20.35,80.84,36.99,0.00,57.44,378.63,0.00
1--0--1--0,17.980,24.339,26.499,27.222,18.491,2.000,0.000,0.000,26.686,0.000,,1,3,10,48,2,1,0,0,2,0,,17.98,73.02,264.99,1306.64,36.98,2.00,0.00,0.00,53.37,0.00
1--0--1--1,28.624,23.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,4,1,0,0,0,0,0,0,0,0,,114.49,23.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1--0--1--2,19.113,0.000,0.000,23.491,0.000,19.353,24.801,24.553,28.187,0.000,,3,0,0,3,0,3,1,1,19,0,,57.34,0.00,0.00,70.47,0.00,58.06,24.80,24.55,535.55,0.00
1--0--1--3,0.000,0.000,18.178,18.345,0.000,0.000,0.000,0.000,10.695,27.878,,0,0,1,9,0,0,0,0,2,6,,0.00,0.00,18.18,165.10,0.00,0.00,0.00,0.00,21.39,167.27
1--0--2--0,23.793,24.797,30.073,28.870,18.590,25.979,27.456,28.014,26.649,22.192,,12,19,145,62,12,6,16,8,9,14,,285.52,471.15,4360.65,1789.97,223.08,155.88,439.29,224.11,239.84,310.68
1--0--2--1,0.000,21.457,33.401,20.079,0.000,25.066,28.255,0.000,0.000,7.931,,0,2,7,5,0,2,14,0,0,1,,0.00,42.91,233.81,100.39,0.00,50.13,395.58,0.00,0.00,7.93
1--0--2--2,21.809,23.582,28.932,16.931,20.375,26.428,16.038,21.281,15.936,21.534,,5,8,137,10,5,4,3,8,10,11,,109.05,188.65,3963.62,169.31,101.87,105.71,48.11,170.25,159.36,236.88
1--0--2--3,20.625,0.000,21.230,16.214,19.729,22.529,0.000,23.203,18.980,15.786,,1,0,2,1,3,15,0,17,1,3,,20.63,0.00,42.46,16.21,59.19,337.93,0.00,394.46,18.98,47.36
1--0--3--0,26.463,0.000,0.000,0.000,21.242,24.020,34.969,0.000,27.199,24.534,,1,0,0,0,2,2,2,0,8,4,,26.46,0.00,0.00,0.00,42.48,48.04,69.94,0.00,217.60,98.13
1--0--3--1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.381,16.778,22.787,,0,0,0,0,0,0,0,10,3,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.81,50.33,45.57
1--0--3--2,21.686,21.468,0.000,14.579,21.465,23.708,16.041,20.955,17.690,20.154,,1,7,0,2,2,11,1,3,3,10,,21.69,150.28,0.00,29.16,42.93,260.79,16.04,62.87,53.07,201.54
1--0--3--3,0.000,24.976,14.593,2.000,0.000,28.316,0.000,0.000,0.000,22.741,,0,2,2,1,0,6,0,0,0,2,,0.00,49.95,29.19,2.00,0.00,169.90,0.00,0.00,0.00,45.48
1--1--0--0,25.528,29.566,29.405,28.924,24.614,24.905,24.879,20.706,21.056,21.075,,1426,24849,6219,1459,1443,1381,1449,1473,1399,1385,,36402.70,734685.38,182870.79,42200.24,35518.68,34394.42,36050.25,30499.53,29457.65,29188.81
