,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
1--0--1--1,8.989,0,0,0,0,0,10.239,0,0,0,,1,0,0,0,0,0,4,0,0,0,,8.99,0.00,0.00,0.00,0.00,0.00,40.96,0.00,0.00,0.00
1--0--1--2,0,0,10.11,0,0,2.112,11.715,0,11.161,7.532,,0,0,2,0,0,1,7,0,2,2,,0.00,0.00,20.22,0.00,0.00,2.11,82.01,0.00,22.32,15.06
1--0--1--3,0,6.104,0,-4.5,-4.226,5.683,0,0,0,0,,0,4,0,1,1,1,0,0,0,0,,0.00,24.42,0.00,-4.50,-4.23,5.68,0.00,0.00,0.00,0.00
1--0--2--0,7.018,8.524,13.784,14.407,2.979,11.172,8.481,9.068,11.243,5.903,,1,5,70,30,7,17,3,6,6,5,,7.02,42.62,964.88,432.21,20.85,189.92,25.44,54.41,67.46,29.52
1--0--2--1,6.865,0,0,5.677,0,9.079,14.034,9.77,13.022,4.901,,2,0,0,1,0,4,1,8,1,1,,13.73,0.00,0.00,5.68,0.00,36.32,14.03,78.16,13.02,4.90
1--0--2--2,5.271,7.539,12.584,2.998,1.87,7.848,2.98,7.289,1.715,6.197,,7,6,96,8,4,5,6,3,7,7,,36.90,45.23,1208.06,23.98,7.48,39.24,17.88,21.87,12.01,43.38
1--0--2--3,5.336,3.493,0,-1.305,1.653,0,1.486,7.348,1.954,0,,10,2,0,2,1,0,3,4,1,0,,53.36,6.99,0.00,-2.61,1.65,0.00,4.46,29.39,1.95,0.00
1--0--3--0,0,0,2.055,0,0,10.693,0,13.999,11.109,4.34,,0,0,1,0,0,12,0,1,3,1,,0.00,0.00,2.06,0.00,0.00,128.32,0.00,14.00,33.33,4.34
1--0--3--1,0,5.858,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,,0.00,17.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1--0--3--2,0,5.437,1.354,0,3.584,10.511,2.677,0,0,4.868,,0,12,2,0,1,6,2,0,0,5,,0.00,65.24,2.71,0.00,3.58,63.07,5.35,0.00,0.00,24.34
1--0--3--3,0,0,1.62,0,1.877,0,0.419,0,0,0,,0,0,1,0,1,0,3,0,0,0,,0.00,0.00,1.62,0.00,1.88,0.00,1.26,0.00,0.00,0.00
1--1--0--0,9.908,13.292,13.381,13.359,9.033,9.019,9.009,5.566,5.594,5.714,,852,1161,17196,1136,871,847,894,860,801,808,,8441.62,15432.01,230099.68,15175.82,7867.74,7639.09,8054.05,4786.76,4480.79,4616.91
1--1--0--1,8.783,12.387,12.902,14.34,8.315,8.015,10.017,4.546,6.463,6.955,,104,113,103,2248,86,90,94,87,102,114,,913.43,1399.73,1328.91,32236.32,715.09,721.35,941.60,395.50,659.23,792.87
1--1--0--2,7.911,11.253,11.393,3.504,7.015,7.034,11.166,3.552,7.552,7.493,,1882,1854,32081,1853,1869,1852,1887,1832,1853,1918,,14888.50,20863.06,365498.83,6492.91,13111.04,13026.97,21070.24,6507.26,13993.86,14371.57
1--1--0--3,6.425,10.361,9.974,2.673,5.611,6.235,2.683,1.727,8.688,8.068,,79,1972,139,89,79,81,85,95,76,85,,507.58,20431.89,1386.39,237.90,443.27,505.04,228.06,164.07,660.29,685.78
1--1--1--0,9.249,12.31,15.331,15.19,8.305,11.171,11.296,7.813,7.341,4.226,,156,146,3218,198,137,158,159,123,162,139,,1442.84,1797.26,49335.16,3007.62,1137.79,1765.02,1796.06,961.00,1189.24,587.41
1--1--1--1,8.536,10.866,14.295,4.603,7.683,11.147,12.345,7.241,7.699,5.426,,21,43,458,24,26,26,49,21,19,15,,179.26,467.24,6547.11,110.47,199.76,289.82,604.91,152.06,146.28,81.39
1--1--1--2,7.359,10.341,13.468,2.82,5.832,8.987,2.748,5.851,9.487,6.775,,82,73,1973,101,87,92,87,73,84,77,,603.44,754.89,26572.36,284.82,507.38,826.80,239.08,427.12,796.91,521.68
1--1--1--3,6.02,9.632,12.314,1.982,5.517,8.842,0.997,4.153,1.191,6.702,,28,57,560,21,31,24,23,31,19,21,,168.56,549.02,6895.84,41.62,171.03,212.21,22.93,128.74,22.63,140.74
